UNIX Timestamp (ms),Gametime,Event,Reaction,Notes,
1700932592000,1st 15:00,Down,Cheering,,
1700932629000,1st 14:23,Down,Cheering,,
1700932648000,1st 14:03,Down,Cheering,,
1700932734000,1st 13:53,Down,"Slight ""ughh""",,
1700932771000,1st 13:50,Down,"Slight ""ughh""",,
1700932811000,1st 13:11,Down,"Slight ""ughh""",,
1700933033000,1st 12:34,Down,Cheering,,
1700933074000,1st 11:56,Complete Pass,Cheering,,
1700933114000,1st 11:15,Down,Cheering,,
1700933152000,1st 11:10,Down,Cheering,,
1700933192000,1st 10:33,Complete Pass,"Slight ""ughh""",,
1700933457000,1st 9:37,Down,"Slight ""ughh""",,
1700933493000,1st 9:03,Down,"Slight ""ughh""",,
1700933535000,1st 8:25,Down,"Slight ""ughh""",,
1700933793000,1st 7:41,Interception,Cheering,,
1700933857000,1st 7:32,Down,"Slight ""ughh""",,
1700933897000,1st 6:53,Down,Cheering,,
1700933938000,1st 6:17,Down,Booing,,
1700934088000,1st 5:40,Touchdown,Cheering,,
1700934381000,1st 5:36,Down,Cheering,,
1700934428000,1st 4:49,Down,Cheering,,
1700934469000,1st 4:09,Complete Pass,"Slight ""ughh""",,
1700934495000,1st 3:43,Down,Cheering,,
1700934540000,1st 3:37,Complete Pass,"Slight ""ughh""",mixed,
1700934614000,1st 3:09,Down,Cheering,,
1700934659000,1st 2:28,Down,Cheering,,
1700934778000,1st 2:21,Down,Cheering,,
1700934817000,1st 2:17,FG,"Slight ""ughh""",,
1700934943000,1st 2:13,Complete Pass,Cheering,,
1700934980000,1st 1:44,Down,Cheering,,
1700935014000,1st 1:10,Complete Pass,Cheering,,
1700935119000,1st 0:28,Down,"Slight ""ughh""",,
1700935148000,1st 0:22,Down,"Slight ""ughh""","2 yards, Michigan",mixed reacrtion?
1700935165000,1st 0:00,End of Quarter,Moving,,
1700935429000,2nd 15:00,Complete Pass,Cheering,,
1700935550000,2nd 14:21,Down,"Slight ""ughh""",,
1700935583000,2nd 13:43,Down,"Slight ""ughh""",,
1700935632000,2nd 12:54,Down,"Slight ""ughh""",,
1700935679000,2nd 12:18,Down,Cheering,,
1700935843000,2nd 11:51,Complete Pass,Cheering,,
1700935881000,2nd 11:15,Down,"Slight ""ughh""",,
1700935920000,2nd 10:38,Down,"Slight ""ughh""",,
1700935968000,2nd 10:29,Touchdown,Cheering,,
1700936147000,2nd 10:22,FG,Cheering,,
1700936390000,2nd 10:17,Down,"Slight ""ughh""",,
1700936433000,2nd 9:34,Complete Pass,"Slight ""ughh""",,
1700936479000,2nd 8:49,Complete Pass,"Slight ""ughh""",,
1700936518000,2nd 8:11,Complete Pass,"Slight ""ughh""",,
1700936577000,2nd 7:30,Penalities ,Booing,,
1700936612000,2nd 7:23,Down,"Slight ""ughh""",,
1700936651000,2nd 6:36,Touchdown,"Slight ""ughh""",,
1700937128000,2nd 6:27,Complete Pass,Cheering,,
1700937168000,2nd 5:54,Complete Pass,Cheering,,
1700937203000,2nd 5:39,Down,"Slight ""ughh""",,
1700937239000,2nd 4:47,Down,"Slight ""ughh""",,
1700937285000,2nd 4:12,Down,"Slight ""ughh""",,
1700937545000,2nd 3:23,Down,Cheering,,
1700937582000,2nd 2:44,Down,Cheering,,
1700937618000,2nd 2:12,Complete Pass,"Slight ""ughh""",,
1700937813000,2nd 1:24,Complete Pass,"Slight ""ughh""",,
1700937885000,2nd 1:10,Down,Cheering,,
1700937922000,2nd 1:08,Down,Cheering,,
1700937944000,2nd 0:45,Complete Pass,"Slight ""ughh""",,
1700938120000,2nd 0:03,FG,Cheering,OSU MISSED,
1700938128000,2nd 0:00,End of Quarter,Moving,,
1700939509000,3rd 14:53,Complete Pass,Cheering,,
1700939555000,3rd 14:11,Down,Cheering,,
1700939593000,3rd 13:38,Down,"Slight ""ughh""",,
1700939627000,3rd 13:02,Down,"Slight ""ughh""",,
1700939666000,3rd 12:25,Down,Cheering,,
1700939785000,3rd 12:24,Penalities ,Booing,,
1700939826000,3rd 11:48,FG,Cheering,,
1700940058000,3rd 11:43,Down,Cheering,SACKED,
1700940095000,3rd 11:07,Complete Pass,"Slight ""ughh""",,
1700940130000,3rd 10:39,Down,Cheering,,
1700940150000,3rd 10:18,Complete Pass,"Slight ""ughh""",,
1700940187000,3rd 9:49,Down,Cheering,,
1700940225000,3rd 9:06,Down,Cheering,,
1700940260000,3rd 8:36,Down,Cheering,,
1700940305000,3rd 8:09,Down,"Slight ""ughh""",big run,
1700940339000,3rd 7:44,Down,Cheering,,
1700940378000,3rd 6:50,Down,Cheering,,
1700940418000,3rd 6:01,Down,Cheering,,
1700940439000,3rd 5:41,Touchdown,"Slight ""ughh""",,
1700940895000,3rd 5:35,Down,"Slight ""ughh""",,
1700940931000,3rd 4:59,Complete Pass,Cheering,,
1700940970000,3rd 4:21,Down,Cheering,,
1700941006000,3rd 3:50,Down,Cheering,,
1700941044000,3rd 3:08,Down,"Slight ""ughh""",small run Bc2,
1700941095000,3rd 2:34,Complete Pass,Cheering,,
1700941438000,3rd 2:33,Penalities ,Cheering,,
1700941501000,3rd 2:05,Touchdown,Cheering,,
1700941667000,3rd 1:55,Down,Cheering,,
1700941702000,3rd 1:22,Down,Cheering,,
1700941739000,3rd 1:14,Down,Cheering,,
1700941875000,3rd 0:57,Down,Cheering,,
1700941919000,3rd 0:08,Down,Cheering,,
1700941935000,3rd 0:00,End of Quarter,Moving,,
1700942213000,4th 15:00,Complete Pass,Cheering,,
1700942264000,4th 14:15,Down,Cheering,,
1700942307000,4th 13:27,Down,Cheering,,
1700942353000,4th 12:43,Down,"Slight ""ughh""",,
1700942392000,4th 12:03,FG,Cheering,,
1700942625000,4th 11:57,Down,Cheering,,
1700942645000,4th 11:36,Down,Cheering,,
1700942684000,4th 11:14,Complete Pass,"Slight ""ughh""",,
1700942724000,4th 10:28,Down,Cheering,,
1700942764000,4th 10:23,Down,Cheering,,
